38	26710
38	33140
41	28320
37	31000
39	31100
36	41970
42	26550
43	25470
40	28010
41	25080
40	26480
42	26700
45	22470
40	27700
37	42440
39	32660
41	28230
32	46050
39	36770
40	33400
40	33690
43	28110
41	31300
42	28000
41	32110
38	35200
39	21470
37	32340
39	31470
39	35070
43	27390
40	30960
39	30760
40	34010
43	26190
41	31440
43	26350
38	36110
39	40300
46	23200
42	27730
36	32640
38	35120
41	33880
35	38250
37	39600
43	29480
40	31710
43	28660
40	31530
42	28900
37	37070
42	27690
46	24570
41	28330
45	29630
42	26130
39	37210
42	31860
40	34530
41	34080
39	35660
38	32670
43	27680
40	30650
44	25680
43	30170
42	26950
39	28350
39	33090
40	33590
